HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0000270	OG0000148	n0	b2537 _hcaR_ DNA-binding transcriptional dual regulator HcaR, b2405 _xapR_ DNA-binding transcriptional activator XapR, b4706 _iroK_ protein IroK, b1595 _ynfL_ putative DNA-binding transcriptional regulator YnfL	ECL_02221 LysR family transcriptional regulator	VK055_0927 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000271	OG0000149	n1	b1612 _fumA_ fumarase A	ECL_02274 fumarase	
N0.HOG0000272	OG0000149	n2	b4122 _fumB_ fumarase B	ECL_03252 tartrate/fumarate subfamily Fe-S type hydro-lyase beta subunit	VK055_0990 _fumA_ fumarase A, VK055_0957 _fumA2_ fumarase A
N0.HOG0000273	OG0000150	n0	b2979 _glcD_ glycolate dehydrogenase_ putative FAD-linked subunit, b4463 _ygcU_ putative FAD-containing dehydrogenase, b4468 _glcE_ glycolate dehydrogenase_ putative FAD-binding subunit, b1687 _ydiJ_ putative FAD-linked oxidoreductase YdiJ	ECL_02387 FAD-binding protein	VK055_0300 4Fe-4S dicluster domain protein
N0.HOG0000274	OG0000151	n2	b1773 _ydjI_ L-glycero-L-galacto-octuluronate-1-phosphate aldolase	ECL_00340 hypothetical protein	
N0.HOG0000275	OG0000151	n3	b2096 _gatY_ tagatose-1_6-bisphosphate aldolase 2, b3137 _kbaY_ tagatose-1_6-bisphosphate aldolase 1	ECL_04526 tagatose-bisphosphate aldolase	
N0.HOG0000276	OG0000152	n1	b3631 _waaG_ lipopolysaccharide glucosyltransferase I	ECL_00132 glycosyltransferase family 1 protein	VK055_3500 glycosyl transferases group 1 family protein
N0.HOG0000277	OG0000152	n3	b2032 _wbbK_ putative glycosyltransferase WbbK	ECL_00147 glycosyl transferase_ group 1	VK055_5018 glycosyl transferases group 1 family protein
N0.HOG0000278	OG0000153	n1	b2076 _mdtC_ multidrug efflux pump RND permease subunit MdtC	ECL_03403 multidrug efflux system subunit MdtC	VK055_4998 MMPL family protein
N0.HOG0000279	OG0000153	n3	b2075 _mdtB_ multidrug efflux pump RND permease subunit MdtB	ECL_03402 multidrug efflux system subunit MdtB	VK055_4999 MMPL family protein
N0.HOG0000280	OG0000154	n1	b2685 _emrA_ multidrug efflux pump membrane fusion protein EmrA	ECL_04022 efflux pump membrane protein	VK055_4502 emrA Membrane Fusion Protein
N0.HOG0000281	OG0000154	n3	b2368 _emrK_ tripartite efflux pump membrane fusion protein EmrK		VK055_0714 efflux transporter_ RND family_ MFP subunit, VK055_4201 emrA Membrane Fusion Protein
N0.HOG0000282	OG0000155	n1	b3949 _frwC_ putative PTS enzyme IIC component FrwC		VK055_1468 PTS system_ Fru family_ IIC component domain protein
N0.HOG0000283	OG0000155	n2	b2386 _fryC_ putative PTS enzyme IIC component FryC, b3899 _frvB_ putative PTS enzyme IIBC component FrvB, b2387 _fryB_ putative PTS enzyme IIB component FryB		VK055_0753 PTS system_ Fru family_ IIC component domain protein
N0.HOG0000284	OG0000156	n1	b2399 _yfeD_ putative DNA-binding transcriptional regulator YfeD	ECL_03735 hypothetical protein	VK055_4763 hypothetical protein
N0.HOG0000285	OG0000156	n3	b2398 _yfeC_ DNA-binding transcriptional dual regulator YfeC	ECL_03734 hypothetical protein	VK055_4764 mu DNA-binding domain protein
N0.HOG0000286	OG0000157	n0	b2457 _eutM_ putative ethanolamine catabolic microcompartment shell protein EutM		VK055_4720 BMC domain protein, VK055_4306 BMC domain protein, VK055_4314 BMC domain protein, VK055_4315 BMC domain protein, VK055_4322 BMC domain protein
N0.HOG0000287	OG0000158	n1	b2787 _gudD_ D-glucarate dehydratase	ECL_04120 D-glucarate dehydratase	VK055_4384 _gudD2_ glucarate dehydratase
N0.HOG0000288	OG0000158	n3	b2788 _gudX_ glucarate dehydratase-related protein	ECL_04121 hypothetical protein	VK055_4383 _gudD_ glucarate dehydratase
N0.HOG0000289	OG0000159	n0	b2847 _yqeI_ putative transcriptional regulator YqeI	ECL_04079 hypothetical protein, ECL_00095 putative transcriptional regulatory protein, ECL_03287 putative transcriptional regulatory protein	VK055_2921 transcriptional regulatory_ C terminal family protein, VK055_2285 transcriptional regulatory_ C terminal family protein
N0.HOG0000290	OG0000160	n0	b2894 _xerD_ site-specific recombinase	ECL_04220 site-specific tyrosine recombinase XerD, ECL_00532 putative integrase, ECL_A187 putative Integrase/recombinase	VK055_2760 phage integrase family protein, VK055_4160 _xerD_ tyrosine recombinase XerD
N0.HOG0000291	OG0000161	n1	b3335 _gspO_ Type II secretion system prepilin peptidase	ECL_04699 leader peptidase HopD	VK055_3752 type IV leader peptidase family protein
N0.HOG0000292	OG0000161	n3	b2972 _pppA_ prepilin peptidase	ECL_02788 _gspO_ general secretion pathway protein O	VK055_2419 _outO_ type 4 prepilin-like proteins leader peptide-processing enzyme
N0.HOG0000293	OG0000162	n1	b3095 _yqjA_ DedA family protein YqjA	ECL_04495 inner membrane protein YqjA	VK055_3945 _yqjA_ conserved inner membrane protein
N0.HOG0000294	OG0000162	n3	b3009 _yghB_ DedA family protein YghB	ECL_04331 hypothetical protein	VK055_4045 _yghB_ conserved inner membrane protein
N0.HOG0000295	OG0000163	n0	b3339 _tufA_ translation elongation factor Tu 1, b3980 _tufB_ translation elongation factor Tu 2	ECL_00237 elongation factor Tu, ECL_04704 elongation factor Tu	VK055_3750 _tuf2_ translation elongation factor Tu, VK055_3117 _tuf_ translation elongation factor Tu
N0.HOG0000296	OG0000164	n0	b3365 _nirB_ nitrite reductase _NADH_ large subunit	ECL_04742 nitrite reductase _NAD_P_H__ large subunit, ECL_01616 nitrite reductase _NAD_P_H_ large subunit, ECL_00487 putative NADH oxidase	VK055_0231 _nirD_ nitrite reductase [NAD_P_H]_ small subunit, VK055_3718 _nirB_ nitrite reductase_ large subunit
N0.HOG0000297	OG0000165	n1	b3386 _rpe_ ribulose-phosphate 3-epimerase	ECL_04748 ribulose-phosphate 3-epimerase	VK055_3713 _rpe_ ribulose-phosphate 3-epimerase
N0.HOG0000298	OG0000165	n3	b4301 _sgcE_ putative epimerase SgcE, b4085 _alsE_ D-allulose-6-phosphate 3-epimerase		VK055_0750 _alsE_ D-allulose-6-phosphate 3-epimerase
N0.HOG0000299	OG0000166	n0	b3454 _livF_ branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF	ECL_04812 branched-chain amino acid transport system ATP-binding protein, ECL_01378 _livF_ branched-chain amino acid transport system ATP-binding protein	VK055_3654 livF, VK055_2255 _livF_ branched-chain amino-acid ABC transport system ATP-binding protein, VK055_0169 ABC transporter family protein
N0.HOG0000300	OG0000167	n0	b3455 _livG_ branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG	ECL_01379 _livG_ branched-chain amino acid transport system ATP-binding protein, ECL_04813 branched-chain amino acid transport system ATP-binding protein	VK055_2254 ABC transporter family protein, VK055_0168 ABC transporter family protein, VK055_3653 ABC transporter family protein
N0.HOG0000301	OG0000168	n0	b3457 _livH_ branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH	ECL_01381 _livH_ branched-chain amino acid transport system permease protein, ECL_04815 branched-chain amino acid transport system permease protein	VK055_2252 branched-chain amino acid transport system / permease component family protein, VK055_0166 branched-chain amino acid transport system / permease component family protein, VK055_3651 branched-chain amino acid transport system / permease component family protein
N0.HOG0000302	OG0000169	n1	b3460 _livJ_ branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein	ECL_04820 extracellular ligand-binding receptor	VK055_3647 receptor ligand binding region family protein
N0.HOG0000303	OG0000169	n3	b3458 _livK_ L-leucine/L-phenylalanine ABC transporter periplasmic binding protein	ECL_04816 branched-chain amino acid transport system substrate-binding protein	VK055_3650 receptor ligand binding region family protein
N0.HOG0000304	OG0000170	n0	b3564 _xylB_ xylulokinase	ECL_00202 hypothetical protein	VK055_3541 _xylB2_ xylulokinase, VK055_4979 _fggY_ FGGY carbohydrate kinase domain-containing protein, VK055_1898 carbohydrate kinase_ FGGY family, VK055_4984 _xylB3_ xylulokinase
N0.HOG0000305	OG0000171	n0	b3684 _yidP_ putative DNA-binding transcriptional regulator YidP	ECL_00018 GntR family transcriptional regulator, ECL_00287 transcriptional regulator_ GntR family protein	VK055_3377 putative transcriptional regulator, VK055_0798 putative transcriptional regulator, VK055_2801 bacterial regulatory_ gntR family protein
N0.HOG0000306	OG0000172	n0	b4035 _malK_ maltose ABC transporter ATP binding subunit	ECL_00292 maltose/maltodextrin transporter ATP-binding protein, ECL_01789 beta-phosphoglucomutase, ECL_02648 _malK_ maltose/maltodextrin transport system ATP-binding protein	VK055_3049 _malK2_ malK, VK055_2125 _malK_ malK
N0.HOG0000307	OG0000173	n0		ECL_02155 Hcp family type VI secretion system effector, ECL_01377 Hcp family type VI secretion system effector, ECL_00033 hemolysin-coregulated protein	VK055_1101 _hcp1_ type VI secretion system effector_ Hcp1 family protein, VK055_0741 hypothetical protein, VK055_4661 hypothetical protein
N0.HOG0000308	OG0000174	n0		ECL_00325 LysR family transcriptional regulator	VK055_3001 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0659 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_4169 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0349 bacterial regulatory helix-turn-helix_ lysR family protein, VK055_0285 bacterial regulatory helix-turn-helix_ lysR family protein
N0.HOG0000309	OG0000175	n0		ECL_01228 GntR family transcriptional regulator, ECL_00725 GntR family transcriptional regulator	VK055_2111 bacterial regulatory_ gntR family protein, VK055_3644 bacterial regulatory_ gntR family protein, VK055_1967 bacterial regulatory_ gntR family protein, VK055_4515 bacterial regulatory_ gntR family protein
N0.HOG0000310	OG0000176	n0		ECL_05087 hypothetical protein, ECL_01269 hypothetical protein	VK055_3279 hypothetical protein, VK055_1083 hypothetical protein, VK055_4241 hypothetical protein, VK055_0462 hypothetical protein
N0.HOG0000311	OG0000177	n0		ECL_04899 _silE_ silver binding protein SilE, ECL_A037 silver binding protein precursor SilE, ECL_A020 _pcoE_ copper-binding protein PcoE, ECL_04882 _pcoE_ copper resistant protein PcoE, ECL_04874 _pcoE_ copper-binding protein, ECL_A011 _pcoE_ copper-binding protein pcoE	
N0.HOG0000312	OG0000178	n0		ECL_A208 tellurium resistance protein TerZ, ECL_A212 Tellurium resistance protein TerD, ECL_A213 Tellurium resistance protein TerE, ECL_A197 tellurium resistance protein terX, ECL_A209 tellurium resistance protein TerA, ECL_A215 Tellurium resistance protein TerF	
N0.HOG0000313	OG0000179	n0			VK055_0003 hypothetical protein, VK055_0004 putative kinase domain protein, VK055_5184 putative kinase domain protein, VK055_0005 phage tail family protein, VK055_5185 phage tail family protein, VK055_0002 putative kinase domain protein
N0.HOG0000314	OG0000180	n0			VK055_0193 putative sel1-like repeat; harboring protein, VK055_0191 sel1 repeat family protein, VK055_0192 sel1 repeat family protein, VK055_0194 sel1 repeat family protein, VK055_0189 sel1 repeat family protein, VK055_0188 sel1 repeat family protein
N0.HOG0000315	OG0000181	n0	b0037 _caiC_ carnitine--CoA ligase, b1701 _fadK_ short chain acyl-CoA synthetase, b1805 _fadD_ long-chain-fatty-acid--CoA ligase	ECL_01498 long-chain-fatty-acid--CoA ligase	VK055_0128 _fadD_ fadD
N0.HOG0000316	OG0000182	n0	b1769 _ydjE_ putative transporter YdjE, b1775 _ydjK_ putative transporter YdjK, b0045 _yaaU_ putative transporter YaaU, b2771 _ygcS_ putative transporter YgcS		VK055_4371 sugar _and other_ transporter family protein
N0.HOG0000317	OG0000183	n0	b0046 _kefF_ regulator of KefC-mediated potassium transport and quinone oxidoreductase	ECL_00844 glutathione-regulated potassium-efflux system ancillary protein KefF	VK055_2684 _nqo2_ ribosyldihydronicotinamide dehydrogenase _quinone_, VK055_4210 flavodoxin-like fold family protein, VK055_2531 _ywrO_ general stress protein 14
N0.HOG0000318	OG0000184	n1	b0072 _leuC_ 3-isopropylmalate dehydratase subunit LeuC	ECL_00870 3-isopropylmalate dehydratase_ large subunit	VK055_2495 _leuC_ leuC
N0.HOG0000319	OG0000184	n3	b0771 _ybhJ_ putative hydratase YbhJ	ECL_03970 3-isopropylmalate dehydratase large subunit	
N0.HOG0000320	OG0000185	n0	b2373 _oxc_ oxalyl-CoA decarboxylase, b0507 _gcl_ glyoxylate carboligase, b0077 _ilvI_ acetolactate synthase/acetohydroxybutanoate synthase_ catalytic subunit	ECL_00874 acetolactate synthase 3 catalytic subunit	VK055_2490 _ilvB_ acetolactate synthase_ large subunit_ biosynthetic type
N0.HOG0000321	OG0000186	n0	b0084 _ftsI_ peptidoglycan DD-transpeptidase FtsI	ECL_00881 hypothetical protein, ECL_01481 peptidoglycan synthetase FtsI	VK055_2484 _ftsI2_ essential cell division FtsI; penicillin-bindingprotein 3, VK055_0111 _ftsI_ essential cell division FtsI; penicillin-bindingprotein 3
N0.HOG0000322	OG0000187	n0	b2980 _glcC_ DNA-binding transcriptional dual regulator GlcC, b3226 _nanR_ NanR, b0113 _pdhR_ DNA-binding transcriptional dual regulator PdhR	ECL_00912 Pyruvate dehydrogenase complex repressor	VK055_2453 _pdhR_ pdhR transcriptional dual regulator
N0.HOG0000323	OG0000188	n0	b0162 _cdaR_ DNA-binding transcriptional activator CdaR	ECL_00966 carbohydrate diacid transcriptional activator CdaR	VK055_2388 _cdaR_ cdaR transcriptional activator, VK055_0794 sugar diacid recognition family protein, VK055_1901 bacterial regulatory_ Fis family protein
N0.HOG0000324	OG0000189	n0	b0311 _betA_ choline dehydrogenase	ECL_03529 glucose-methanol-choline oxidoreductase, ECL_03528 glucose-methanol-choline oxidoreductase, ECL_03123 choline dehydrogenase	VK055_1953 _betA_ choline dehydrogenase
N0.HOG0000325	OG0000190	n2	b3823 _rhtC_ L-threonine exporter		VK055_3157 homoserine/Threonine efflux family protein
N0.HOG0000326	OG0000190	n3	b0328 _yahN_ putative amino acid exporter YahN		VK055_0460 lysE type translocator family protein
N0.HOG0000327	OG0000191	n1	b0333 _prpC_ 2-methylcitrate synthase		VK055_2057 _gltA2_ citrate _Si_-synthase
N0.HOG0000328	OG0000191	n2	b0720 _gltA_ citrate synthase	ECL_03012 citrate synthase	VK055_1802 _gltA_ citrate _Si_-synthase
N0.HOG0000329	OG0000192	n0	b0337 _codA_ cytosine/isoguanine deaminase	ECL_04741 cytosine deaminase	VK055_0427 amidohydrolase family protein, VK055_1902 amidohydrolase family protein, VK055_3722 amidohydrolase family protein
N0.HOG0000330	OG0000193	n1	b0363 _yaiP_ putative glucosyltransferase		VK055_5037 glycosyl transferase 2 family protein
N0.HOG0000331	OG0000193	n2	b1022 _pgaC_ poly-N-acetyl-D-glucosamine synthase subunit PgaC	ECL_04315 _pgaC_ biofilm PGA synthesis N-glycosyltransferase PgaC	VK055_2950 _pgaC_ poly-beta-1_6 N-acetyl-D-glucosamine synthase
N0.HOG0000332	OG0000194	n1	b0402 _proY_ putative transporter ProY	ECL_01158 proline-specific permease ProY	VK055_2212 amino acid permease family protein
N0.HOG0000333	OG0000194	n3	b0486 _ybaT_ putative transporter YbaT		VK055_2008 amino acid permease family protein
N0.HOG0000334	OG0000195	n1	b2739 _ygbM_ putative 2-oxo-tetronate isomerase YgbM		VK055_0331 xylose isomerase-like TIM barrel family protein, VK055_2171 xylose isomerase-like TIM barrel family protein
N0.HOG0000335	OG0000195	n3	b0508 _hyi_ hydroxypyruvate isomerase		VK055_0896 hydroxypyruvate isomerase
N0.HOG0000336	OG0000196	n1	b0509 _glxR_ tartronate semialdehyde reductase 2		VK055_0795 NAD-dependent glycerol-3-phosphate dehydrogenasefamily protein
N0.HOG0000337	OG0000196	n2	b3125 _garR_ tartronate semialdehyde reductase	ECL_04514 tartronate semialdehyde reductase	VK055_3929 2-hydroxy-3-oxopropionate reductase
N0.HOG0000338	OG0000197	n0	b0516 _allC_ allantoate amidohydrolase	ECL_02649 N-carbamoyl-L-amino acid hydrolase	VK055_1522 amidase_ hydantoinase/carbamoylase family protein, VK055_1969 amidase_ hydantoinase/carbamoylase family protein, VK055_0728 amidase_ hydantoinase/carbamoylase family protein
N0.HOG0000339	OG0000198	n2	b0773 _ybhB_ putative kinase inhibitor		VK055_1733 phosphatidylethanolamine-binding family protein
N0.HOG0000340	OG0000198	n3	b0545 _ybcL_ periplasmic protein YbcL		VK055_1490 phosphatidylethanolamine-binding family protein
N0.HOG0000341	OG0000199	n0	b0573 _cusF_ copper/silver export system periplasmic binding protein	ECL_01961 _cusF_ Cu_I_/Ag_I_ efflux system periplasmic protein CusF, ECL_A032 _cusF_ copper/silver efflux system protein CusF, ECL_04892 _cusF_ Cu_I_/Ag_I_ efflux system periplasmic protein CusF	VK055_2706 _cusF_ periplasmic copper/silver-binding protein
N0.HOG0000342	OG0000200	n0	b0574 _cusB_ copper/silver export system membrane fusion protein	ECL_01962 _cusB_ Cu_I_/Ag_I_ efflux system membrane protein CusB, ECL_04891 _cusB_ Cu_I_/Ag_I_ efflux system membrane protein CusB, ECL_A031 _cusB_ copper/silver efflux system membrane fusion protein CusB	VK055_2707 membrane fusion protein of the CusCFBA copper efflux system
N0.HOG0000343	OG0000201	n0	b0575 _cusA_ copper/silver export system RND permease	ECL_04888 _cusA_ Cu_I_/Ag_I_ efflux system membrane protein CusA, ECL_A030 CzcA family heavy metal efflux protein, ECL_01963 _cusA_ Cu_I_/Ag_I_ efflux system membrane protein CusA	VK055_2708 cusA
N0.HOG0000344	OG0000202	n0	b0612 _citT_ citrate_succinate antiporter, b0770 _ybhI_ putative tricarboxylate transporter, b3063 _ttdT_ L-tartrate_succinate antiporter	ECL_03251 anion transporter	VK055_0956 ygjE tartrate/succinate DASS transporter TtdT tartrate/succinate DASS transporter
N0.HOG0000345	OG0000203	n0	b0624 _crcB_ F_-_ channel protein	ECL_03070 camphor resistance protein CrcB	VK055_1875 crcB-like family protein, VK055_4204 crcB-like family protein, VK055_4205 crcB-like family protein
N0.HOG0000346	OG0000204	n2	b2965 _speC_ constitutive ornithine decarboxylase	ECL_04303 ornithine decarboxylase	
N0.HOG0000347	OG0000204	n3	b0693 _speF_ inducible ornithine decarboxylase	ECL_03025 ornithine decarboxylase	
N0.HOG0000348	OG0000205	n1	b0716 _ybgO_ putative fimbrial protein YbgO	ECL_04375 putative fimbrial protein	
N0.HOG0000349	OG0000205	n2	b3048 _yqiI_ putative fimbrial protein YqiI	ECL_04371 putative fimbrial adhesin	VK055_4534 fimbrial family protein
N0.HOG0000350	OG0000206	n0	b0718 _ybgQ_ putative fimbrial usher protein YbgQ	ECL_04373 fimbrial usher protein, ECL_00371 Outer membrane usher protein PmfC, ECL_01106 _mrfC_ fimbrial biogenesis outer membrane usher protein, ECL_04369 putative outer membrane usher protein	
N0.HOG0000351	OG0000207	n0	b0877 _ybjX_ DUF535 domain-containing protein YbjX	ECL_01463 hypothetical protein, ECL_02772 hypothetical protein	VK055_0094 hypothetical protein, VK055_0418 hypothetical protein
N0.HOG0000352	OG0000208	n0	b0879 _macB_ ABC-type tripartite efflux pump ATP binding/membrane subunit	ECL_00381 Macrolide-specific ABC-type efflux carrier, ECL_01035 hypothetical protein, ECL_02770 macrolide transporter ATP-binding /permease protein	VK055_1574 macB
N0.HOG0000353	OG0000209	n0	b0889 _lrp_ DNA-binding transcriptional dual regulator Lrp	ECL_02761 leucine-responsive transcriptional regulator	VK055_1069 asnC family protein, VK055_1525 asnC family protein, VK055_1564 _lrp_ lrp transcriptional dual regulator
N0.HOG0000354	OG0000210	n0	b1492 _gadC_ L-glutamate_4-aminobutyrate antiporter, b3078 _ygjI_ putative transporter YgjI, b0899 _ycaM_ putative transporter YcaM, b4156 _yjeM_ putative transporter YjeM		VK055_2910 amino acid permease family protein
